Delivery,Name of sold-to party,Shipment Number,Sold-to party,Name of the ship-to party,Location of the ship-to party,Ship-to party,Material,UPC,GTIN,Description,Batch,Delivery quantity,Actual delivery qty,Net weight,Plant,Act. Gds Mvmnt Date,Deliv. date(From/to),Created on,Overall pick.status
808334503,MOORETON CHEMICAL LLC,833295635,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88347579,190794536608,00190794536608,C.DK.DKC44-97RIB.SCR.AF.50USP.E7.US,H35XYK9JX,50,1,"1,825.000",8H3T,16/03/2023,16/03/2023,08/03/2023,C
808334503,MOORETON CHEMICAL LLC,833295635,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88347536,190794536561,00190794536561,C.DK.DKC44-97RIB.SCR.AF.80M.E7.US,H35XME9JX,110,110,"3,905.000",8H3T,16/03/2023,16/03/2023,08/03/2023,C
808404483,MOORETON CHEMICAL LLC,833345656,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88347536,190794536561,00190794536561,C.DK.DKC44-97RIB.SCR.AF.80M.E7.US,H13RY47JT,16,16,560.000,8H3T,12/04/2023,13/04/2023,29/03/2023,C
808275113,MOORETON CHEMICAL LLC,833244533,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88347587,190794536615,00190794536615,C.DK.DKC44-97RIB.SCR.AF2.50USP.E7.US,H35XFH3JX,550,11,"29,700.000",8H3T,24/02/2023,24/02/2023,16/02/2023,C
808400546,ROELOFSEN SEED SALES INC,833344547,9201975,ROELFSEN SEED WHS,TORONTO,9253231,88347587,190794536615,00190794536615,C.DK.DKC44-97RIB.SCR.AF2.50USP.E7.US,H53RTT4JX,200,4,"10,380.000",8H53,07/04/2023,07/04/2023,28/03/2023,C
808436390,DEWILDE SEEDS,833363906,9201245,DEWILDE SEEDS,RUTHTON,9201245,88347587,190794536615,00190794536615,C.DK.DKC44-97RIB.SCR.AF2.50USP.E7.US,H35EL14JX,100,2,"5,450.000",8H53,14/04/2023,17/04/2023,07/04/2023,C
808334503,MOORETON CHEMICAL LLC,833295635,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88347544,190794536578,00190794536578,C.DK.DKC44-97RIB.SCR.AF2.80M.E7.US,H35XVF9JX,4,4,206.000,8H3T,16/03/2023,16/03/2023,08/03/2023,C
808351154,DEWILDE SEEDS,833321780,9201245,DEWILDE SEEDS,RUTHTON,9201245,88347544,190794536578,00190794536578,C.DK.DKC44-97RIB.SCR.AF2.80M.E7.US,H35XPV4JX,12,12,618.000,8H53,28/03/2023,29/03/2023,14/03/2023,C
808351154,DEWILDE SEEDS,833321780,9201245,DEWILDE SEEDS,RUTHTON,9201245,88347544,190794536578,00190794536578,C.DK.DKC44-97RIB.SCR.AF2.80M.E7.US,H35XVF9JX,114,114,"5,871.000",8H53,28/03/2023,29/03/2023,14/03/2023,C
808390364,ROELOFSEN SEED SALES INC,833337140,9201975,ROELFSEN SEED WHS,TORONTO,9253231,88347544,190794536578,00190794536578,C.DK.DKC44-97RIB.SCR.AF2.80M.E7.US,H35XPV4JX,73,73,"3,759.500",8H53,06/04/2023,06/04/2023,24/03/2023,C
